weapon_base_id,display_name_template,type,max_level,base_damage,base_accuracy,base_cooldown,base_crit_chance,base_crit_damage,base_max_range,base_knockback,base_life_steal,base_recoil,base_recoil_duration,base_attack_duration,base_back_duration,base_projectile_speed,base_scene_path,projectile_scene,sprite_texture_template,icon_path_template,muzzle_offset,hitbox_offset,hitbox_scale,animation_frames_path,vfx_attack_scene,vfx_hit_scene,audio_attack,shape_type,bullet_mode,effect_type,base_sector_angle,base_bullet_count,base_spread_angle,base_pierce_count,param1,param2,param3,item_cost_base,resource_path,damage_scale,cooldown_scale,range_scale,knockback_scale,pierce_scale,bullet_count_scale
-1,显示名模板(%d=等级),类型,最大等级,基础伤害,基础精度,基础冷却,基础暴击率,基础暴击伤害,基础最大范围,基础击退,基础生命窃取,基础后坐力,基础后坐力时长,基础攻击时长,基础返回时长,基础子弹速度,基础场景路径,子弹场景,主贴图模板,图标路径模板,枪口偏移,碰撞体偏移,碰撞体缩放,动画帧资源,攻击特效,命中特效,攻击音效,形状类型,子弹模式,效果类型,基础扇形角度,基础子弹数量,基础散射角度,基础穿透次数,参数1,参数2,参数3,基础物品花费,资源路径,伤害倍率(每级),冷却倍率(每级),范围倍率(每级),击退倍率(每级),穿透倍率(每级),子弹数倍率(每级)
thrust_charged,充能穿刺%d级,melee,4,2,1,0.8,0.05,1.5,200,1.5,0,15,0.08,0.15,0.1,0,res://scenes/weapons/melee/weapon_melee_thrust.tscn,,res://assets/sprites/Weapons/Melee/thrust_charged.png,res://assets/sprites/Weapons/Melee/thrust_charged.png,0|0,40|0,1.5|1.0,res://anims/thrust_charged_frames.tres,res://scenes/vfx/thrust_charged_attack.tscn,res://scenes/vfx/thrust_charged_hit.tscn,res://assets/audio/ThrustCharged.wav,line,,,0,1,0,2,0.5,0,0,1,"",0.5,-0.08,14,0.12,0.5,0
swing_cleave,分裂挥击%d级,melee,4,2,0.9,0.8,0.05,1.5,150,2.0,0,20,0.1,0.2,0.1,0,res://scenes/weapons/melee/weapon_melee_sector.tscn,,res://assets/sprites/Weapons/Melee/swing_cleave.png,res://assets/sprites/Weapons/Melee/swing_cleave.png,0|0,35|0,1.5|1.0,res://anims/swing_cleave_frames.tres,res://scenes/vfx/swing_cleave_attack.tscn,res://scenes/vfx/swing_cleave_hit.tscn,res://assets/audio/SwingCleave.wav,sector,,,80,1,0,0,2,0,0,1,"",0.5,-0.08,12,0.12,0,0
swing_heavy,重挥击%d级,melee,4,4,0.8,1.0,0.03,2.5,100,3.0,0,30,0.15,0.3,0.2,0,res://scenes/weapons/melee/weapon_melee_sector.tscn,,res://assets/sprites/Weapons/Melee/swing_heavy.png,res://assets/sprites/Weapons/Melee/swing_heavy.png,0|0,45|0,1.2|1.2,res://anims/swing_heavy_frames.tres,res://scenes/vfx/swing_heavy_attack.tscn,res://scenes/vfx/swing_heavy_hit.tscn,res://assets/audio/SwingHeavy.wav,sector,,,60,1,0,0,0,0,0,1,"",0.6,-0.08,10,0.2,0,0
circular_vortex,漩涡圆斩%d级,melee,4,2,0.9,0.7,0.06,1.5,300,1.5,0.1,15,0.08,0.2,0.1,0,res://scenes/weapons/melee/weapon_melee_circle.tscn,,res://assets/sprites/Weapons/Melee/circular_vortex.png,res://assets/sprites/Weapons/Melee/circular_vortex.png,0|0,0|0,1.2|1.2,res://anims/circular_vortex_frames.tres,res://scenes/vfx/circular_vortex_attack.tscn,res://scenes/vfx/circular_vortex_hit.tscn,res://assets/audio/CircularVortex.wav,circle,,,0,1,0,0,2,0,0,1,"",0.5,-0.08,14,0.12,0,0
circular_dual,双圆斩%d级,melee,4,1,0.95,0.6,0.05,1.5,280,1.2,0,12,0.06,0.18,0.08,0,res://scenes/weapons/melee/weapon_melee_circle.tscn,,res://assets/sprites/Weapons/Melee/circular_dual.png,res://assets/sprites/Weapons/Melee/circular_dual.png,0|0,0|0,1.0|1.0,res://anims/circular_dual_frames.tres,res://scenes/vfx/circular_dual_attack.tscn,res://scenes/vfx/circular_dual_hit.tscn,res://assets/audio/CircularDual.wav,circle,,,0,1,0,0,0,0,0,1,"",0.5,-0.08,14,0.12,0,0
hammer_smash,锤击%d级,melee,4,5,0.8,1.2,0.04,2.5,100,3.0,0,30,0.15,0.3,0.2,0,res://scenes/weapons/melee/weapon_melee_point.tscn,,res://assets/sprites/Weapons/Melee/hammer_smash.png,res://assets/sprites/Weapons/Melee/hammer_smash.png,0|0,25|0,1.5|1.5,res://anims/hammer_smash_frames.tres,res://scenes/vfx/hammer_smash_attack.tscn,res://scenes/vfx/hammer_smash_hit.tscn,res://assets/audio/HammerSmash.wav,point,,,0,1,0,0,0,0,0,1,"",0.5,-0.12,10,0.2,0,0
whip_lash,鞭击%d级,melee,4,1.5,0.95,0.6,0.05,1.5,200,1.5,0,15,0.08,0.15,0.1,0,res://scenes/weapons/melee/weapon_melee_thrust.tscn,,res://assets/sprites/Weapons/Melee/whip_lash.png,res://assets/sprites/Weapons/Melee/whip_lash.png,0|0,60|0,2.5|0.5,res://anims/whip_lash_frames.tres,res://scenes/vfx/whip_lash_attack.tscn,res://scenes/vfx/whip_lash_hit.tscn,res://assets/audio/WhipLash.wav,line,,,0,1,0,0,0,0,0,1,"",0.5,-0.08,14,0.12,0,0
spear_spin,长矛旋转%d级,melee,4,2,0.9,0.7,0.06,1.5,250,2.0,0.1,20,0.1,0.2,0.1,0,res://scenes/weapons/melee/weapon_melee_circle.tscn,,res://assets/sprites/Weapons/Melee/spear_spin.png,res://assets/sprites/Weapons/Melee/spear_spin.png,0|0,0|0,1.2|1.2,res://anims/spear_spin_frames.tres,res://scenes/vfx/spear_spin_attack.tscn,res://scenes/vfx/spear_spin_hit.tscn,res://assets/audio/SpearSpin.wav,circle,,,0,1,0,0,2,0,0,1,"",0.5,-0.08,14,0.12,0,0
dagger_flurry,匕首连击%d级,melee,4,1,1,0.4,0.1,1.5,150,1.0,0,10,0.05,0.1,0.05,0,res://scenes/weapons/melee/weapon_melee_point.tscn,,res://assets/sprites/Weapons/Melee/dagger_flurry.png,res://assets/sprites/Weapons/Melee/dagger_flurry.png,0|0,20|0,1.0|1.0,res://anims/dagger_flurry_frames.tres,res://scenes/vfx/dagger_flurry_attack.tscn,res://scenes/vfx/dagger_flurry_hit.tscn,res://assets/audio/DaggerFlurry.wav,point,,,0,1,0,0,3,0,0,1,"",0.5,-0.08,10,0.1,0,0
scythe_reap,镰刀收割%d级,melee,4,3,0.9,0.8,0.05,2.0,200,2.0,0.1,20,0.1,0.2,0.1,0,res://scenes/weapons/melee/weapon_melee_sector.tscn,,res://assets/sprites/Weapons/Melee/scythe_reap.png,res://assets/sprites/Weapons/Melee/scythe_reap.png,0|0,50|0,1.5|1.5,res://anims/scythe_reap_frames.tres,res://scenes/vfx/scythe_reap_attack.tscn,res://scenes/vfx/scythe_reap_hit.tscn,res://assets/audio/ScytheReap.wav,sector,,,120,1,0,0,0,0,0,1,"",0.5,-0.08,14,0.12,0,0
chain_whip,链鞭%d级,melee,4,1.5,0.95,0.6,0.05,1.5,200,1.5,0,15,0.08,0.15,0.1,0,res://scenes/weapons/melee/weapon_melee_thrust.tscn,,res://assets/sprites/Weapons/Melee/chain_whip.png,res://assets/sprites/Weapons/Melee/chain_whip.png,0|0,60|0,2.5|0.5,res://anims/chain_whip_frames.tres,res://scenes/vfx/chain_whip_attack.tscn,res://scenes/vfx/chain_whip_hit.tscn,res://assets/audio/ChainWhip.wav,line,,,0,1,0,0,0,0,0,1,"",0.5,-0.08,14,0.12,0,0
single_arc,弧线单发%d级,range,4,1,0.9,0.5,0.05,1.5,300,1,0,15,0.08,0.1,0.1,1800,res://scenes/weapons/range/weapon_range_physical.tscn,res://scenes/projectiles/projectile_pistol.tscn,res://assets/sprites/Weapons/Range/WeaponPistol.png,res://assets/sprites/Weapons/Range/WeaponPistol.png,20|-2,0|0,1.0|1.0,res://anims/single_arc_frames.tres,res://scenes/vfx/single_arc_muzzle_flash.tscn,res://scenes/vfx/bullet_hit.tscn,res://assets/audio/SingleArc.wav,straight,magic,,0,1,0,0,100,0,0,1,"",0.5,-0.08,14,0.1,0,0
single_sniper,狙击单发%d级,range,4,3,0.98,0.8,0.1,2.0,500,2.0,0,20,0.1,0.2,0.1,2400,res://scenes/weapons/range/weapon_range_physical.tscn,res://scenes/projectiles/projectile_sniper.tscn,res://assets/sprites/Weapons/Range/WeaponPistol.png,res://assets/sprites/Weapons/Range/WeaponPistol.png,30|0,0|0,1.0|1.0,res://anims/single_sniper_frames.tres,res://scenes/vfx/single_sniper_muzzle_flash.tscn,res://scenes/vfx/sniper_hit.tscn,res://assets/audio/SniperShot.wav,straight,single,,0,1,0,1,0,0,0,1,"",0.5,-0.12,16,0.12,0.5,0
spread_fan,扇形散射%d级,range,4,1,0.85,0.6,0.05,1.5,250,1.5,0,20,0.1,0.12,0.12,1600,res://scenes/weapons/range/weapon_range_physical.tscn,res://scenes/projectiles/projectile_shotgun.tscn,res://assets/sprites/Weapons/Range/WeaponPistol.png,res://assets/sprites/Weapons/Range/WeaponPistol.png,25|0,0|0,1.0|1.0,res://anims/spread_fan_frames.tres,res://scenes/vfx/spread_fan_muzzle_flash.tscn,res://scenes/vfx/spread_fan_hit.tscn,res://assets/audio/SpreadFan.wav,straight,spread,,60,5,0,0,0,0,0,1,"",0.4,-0.08,14,0.1,0,1
spread_burst,爆发散射%d级,range,4,1,0.85,0.6,0.05,1.5,250,1.5,0,20,0.1,0.12,0.12,1600,res://scenes/weapons/range/weapon_range_physical.tscn,res://scenes/projectiles/projectile_shotgun.tscn,res://assets/sprites/Weapons/Range/WeaponPistol.png,res://assets/sprites/Weapons/Range/WeaponPistol.png,25|0,0|0,1.0|1.0,res://anims/spread_burst_frames.tres,res://scenes/vfx/spread_burst_muzzle_flash.tscn,res://scenes/vfx/spread_burst_hit.tscn,res://assets/audio/SpreadBurst.wav,straight,spread,,0,5,30,0,0,0,0,1,"",0.4,-0.08,14,0.1,0,1
pierce_ricochet,反弹穿透%d级,range,4,2,0.95,0.5,0.05,1.5,400,1,0,15,0.08,0.1,0.1,2000,res://scenes/weapons/range/weapon_range_beam.tscn,res://scenes/projectiles/projectile_laser.tscn,res://assets/sprites/Weapons/Range/WeaponPistol.png,res://assets/sprites/Weapons/Range/WeaponPistol.png,24|0,0|0,1.0|1.0,res://anims/pierce_ricochet_frames.tres,res://scenes/vfx/pierce_ricochet_muzzle_flash.tscn,res://scenes/vfx/pierce_ricochet_hit.tscn,res://assets/audio/PierceRicochet.wav,straight,pierce,,0,1,0,2,1,0,0,1,"",0.5,-0.08,14,0.1,0.5,0
pierce_laser,激光穿透%d级,range,4,1,0.98,0.4,0.05,1.5,350,0.5,0,10,0.05,0.08,0.08,2000,res://scenes/weapons/range/weapon_range_beam.tscn,res://scenes/projectiles/projectile_laser.tscn,res://assets/sprites/Weapons/WeaponPistol.png,res://assets/sprites/Weapons/Range/WeaponPistol.png,24|0,0|0,1.0|1.0,res://anims/laser_frames.tres,res://scenes/vfx/laser_muzzle_flash.tscn,res://scenes/vfx/laser_hit.tscn,res://assets/audio/LaserZap.wav,straight,pierce,,0,1,0,3,0,0,0,1,"",0.5,-0.06,14,0.1,1,0
magic_chain,连锁魔法%d级,range,4,1.5,0.9,0.5,0.05,1.5,300,1,0,15,0.08,0.1,0.1,1800,res://scenes/weapons/range/weapon_range_magic.tscn,res://scenes/projectiles/projectile_magic.tscn,res://assets/sprites/Weapons/Range/WeaponPistol.png,res://assets/sprites/Weapons/Range/WeaponPistol.png,15|0,0|0,1.0|1.0,res://anims/magic_chain_frames.tres,res://scenes/vfx/magic_chain_attack.tscn,res://scenes/vfx/magic_chain_hit.tscn,res://assets/audio/MagicChain.wav,straight,magic,chain,0,1,0,0,3,200,0.5,1,"",0.5,-0.08,14,0.1,0,0
magic_meteor,流星魔法%d级,range,4,4,0.8,1.0,0.04,2.5,400,2.0,0,20,0.1,0.2,0.1,1200,res://scenes/weapons/range/weapon_range_magic.tscn,res://scenes/projectiles/projectile_magic.tscn,res://assets/sprites/Weapons/Range/WeaponPistol.png,res://assets/sprites/Weapons/Range/WeaponPistol.png,15|0,0|0,1.0|1.0,res://anims/magic_meteor_frames.tres,res://scenes/vfx/magic_meteor_attack.tscn,res://scenes/vfx/magic_meteor_hit.tscn,res://assets/audio/MagicMeteor.wav,straight,magic,fire,0,1,0,0,100,1.5,0,1,"",0.6,-0.1,14,0.12,0,0
magic_heal_aoe,治疗光环%d级,range,4,1,0.9,0.6,0.05,1.4,300,0.5,0,10,0.06,0.1,0.09,1500,res://scenes/weapons/range/weapon_range_magic.tscn,res://scenes/projectiles/projectile_heal.tscn,res://assets/sprites/Weapons/Range/WeaponPistol.png,res://assets/sprites/Weapons/Range/WeaponPistol.png,12|0,0|0,1.0|1.0,res://anims/magic_heal_aoe_frames.tres,res://scenes/vfx/magic_heal_aoe_attack.tscn,res://scenes/vfx/magic_heal_aoe_hit.tscn,res://assets/audio/MagicHealAOE.wav,straight,magic,heal,0,1,0,0,30,0.7,150,1,"",0.5,-0.08,14,0.08,0,0
bow_arrow,弓箭%d级,range,4,2,0.92,0.7,0.06,1.6,350,1.2,0,16,0.09,0.13,0.11,1600,res://scenes/weapons/range/weapon_range_physical.tscn,res://scenes/projectiles/projectile_pistol.tscn,res://assets/sprites/Weapons/Range/WeaponPistol.png,res://assets/sprites/Weapons/Range/WeaponPistol.png,28|0,0|0,1.0|1.0,res://anims/bow_arrow_frames.tres,res://scenes/vfx/bow_arrow_muzzle_flash.tscn,res://scenes/vfx/arrow_hit.tscn,res://assets/audio/BowShot.wav,straight,magic,,0,1,0,0,80,0,0,1,"",0.5,-0.09,16,0.12,0,0
