"role","q_script","q_line_calls","q_line_state","q_area_calls","q_area_state","q_extra","f_name","f_internal_cd","f_q_line_amp","f_q_closure_amp","f_special","f_line","f_closure","f_tick"
"jailer","skill_jailer_q","wall_effect","","debuff_zone|wall_effect","fear|slow","","终审禁域","1.05","1.43","1.93","s1=1.08,s2=250.0,s3=0.33","slow dmgx0.94 ctrl[/90.0/] sup[//]","stun dmgx1.30 ctrl[//] sup[//]","slow dmgx0.76 ctrl[//] sup[//]"
"medic","skill_medic_q","buff_zone|debuff_zone","slow/heal|speed_boost","buff_zone|debuff_zone","slow/heal|lifesteal","","战地总医院","1.10","1.38","1.82","s1=0.95,s2=245.0,s3=0.40","slow dmgx0.78 ctrl[//] sup[0.12//]","slow dmgx1.12 ctrl[//] sup[0.30/1.0/]","slow dmgx0.62 ctrl[//] sup[0.16/0.6/]"
"merchant","skill_merchant_q","debuff_zone","damage_amp","buff_zone","speed_boost","_spawn_market_coin_burst","黑市清算","1.08","1.36","1.82","s1=0.90,s2=240.0,s3=0.45","marked dmgx0.72 ctrl[//] sup[/0.4/1]","marked dmgx1.05 ctrl[//] sup[/1.5/3]","marked dmgx0.56 ctrl[//] sup[/0.8/1]"
"midas","skill_midas_q","debuff_zone","damage_amp|slow","area_effect|debuff_zone","damage_amp|slow","_spawn_transmute_coin_burst","黄金法典","1.00","1.46","1.96","s1=1.15,s2=250.0,s3=0.42","slow dmgx0.96 ctrl[//] sup[//1]","slow dmgx1.30 ctrl[//] sup[//2]","slow dmgx0.78 ctrl[//] sup[//1]"
"necro","skill_necro_q","wall_effect","","area_effect|debuff_zone","curse","_spawn_skeleton_swarm","冥域行军","1.00","1.44","1.94","s1=1.09,s2=250.0,s3=0.36","curse dmgx0.92 ctrl[//] sup[//]","curse dmgx1.26 ctrl[//] sup[/1.1/]","curse dmgx0.78 ctrl[//] sup[/0.7/]"
"new_pyro","skill_new_pyro_q","debuff_zone|wall_effect","damage_amp","area_effect|debuff_zone","poison","","符炎圣典","0.88","1.58","2.08","s1=1.28,s2=245.0,s3=0.24","burn dmgx1.10 ctrl[//] sup[//]","burn dmgx1.64 ctrl[//] sup[//]","burn dmgx1.04 ctrl[//] sup[//]"
"new_tempest","skill_new_tempest_q","buff_zone|debuff_zone","slow/speed_boost","area_effect|debuff_zone","slow","","台风主宰","0.92","1.54","2.00","s1=1.22,s2=265.0,s3=0.29","slow dmgx1.00 ctrl[20.0//] sup[//]","slow dmgx1.46 ctrl[40.0//] sup[//]","slow dmgx0.92 ctrl[16.0//] sup[//]"
"new_totem","skill_new_totem_q","line_effect|summon","","area_effect|debuff_zone","damage_amp|slow","","祖灵共鸣","0.96","1.47","1.95","s1=1.14,s2=250.0,s3=0.33","marked dmgx0.96 ctrl[//] sup[//]","marked dmgx1.30 ctrl[//] sup[/1.0/]","marked dmgx0.80 ctrl[//] sup[/0.7/]"
"paladin","skill_paladin_q","wall_effect","","buff_zone|debuff_zone","damage_amp/attack_boost|heal","","圣谕降临","1.00","1.44","1.90","s1=1.08,s2=250.0,s3=0.37","marked dmgx0.96 ctrl[//] sup[0.10//]","stun dmgx1.30 ctrl[//] sup[0.24//]","marked dmgx0.78 ctrl[//] sup[0.12//]"
"plague","skill_plague_q","debuff_zone","poison|slow","area_effect|debuff_zone","curse|damage_amp","","瘴界进化","1.02","1.46","1.94","s1=1.12,s2=255.0,s3=0.36","poison dmgx0.92 ctrl[//] sup[//]","poison dmgx1.28 ctrl[//] sup[//]","poison dmgx0.78 ctrl[//] sup[//]"
"pyro","skill_fire_path_refactored","debuff_zone|wall_effect","damage_amp|poison","area_effect|debuff_zone","damage_amp","_pulse_area","炼狱化身","0.85","1.60","2.10","s1=1.30,s2=240.0,s3=0.22","burn dmgx1.12 ctrl[//] sup[//]","burn dmgx1.62 ctrl[//] sup[//]","burn dmgx1.05 ctrl[//] sup[//]"
"sapper","skill_mine_path_refactored","","","","","_spawn_mines_on_segment|_spawn_mines_in_polygon","爆破专家","0.90","1.52","2.02","s1=1.25,s2=230.0,s3=0.26","marked dmgx1.05 ctrl[//] sup[//]","marked dmgx1.66 ctrl[/180.0/] sup[//]","marked dmgx0.92 ctrl[//] sup[//]"
"swarm","skill_swarm_q","debuff_zone","slow","buff_zone|summon","attack_boost|heal","","母巢解放","1.00","1.45","1.93","s1=1.06,s2=255.0,s3=0.35","poison dmgx0.90 ctrl[//] sup[//]","poison dmgx1.24 ctrl[//] sup[//]","poison dmgx0.74 ctrl[//] sup[//]"
"tesla","skill_tesla_q","debuff_zone","freeze","area_effect|debuff_zone","damage_amp","","雷暴并网","0.90","1.56","2.00","s1=1.20,s2=250.0,s3=0.27","marked dmgx1.02 ctrl[//] sup[//]","stun dmgx1.48 ctrl[//] sup[//]","marked dmgx0.90 ctrl[//] sup[//]"
"train","skill_train_q","line_effect","","area_effect|debuff_zone","fear","","钢轨狂飙","0.90","1.58","2.06","s1=1.32,s2=270.0,s3=0.21","slow dmgx1.16 ctrl[/220.0/] sup[//]","slow dmgx1.68 ctrl[/260.0/] sup[//]","slow dmgx1.00 ctrl[/120.0/] sup[//]"
"turret_eng","skill_turret_q","summon","","buff_zone|summon","attack_boost|cooldown_reduction","","战术超频","0.92","1.53","2.00","s1=1.24,s2=245.0,s3=0.24","marked dmgx1.15 ctrl[//] sup[//]","marked dmgx1.58 ctrl[//] sup[//]","marked dmgx0.98 ctrl[//] sup[//]"
"vacuum","skill_vacuum_q","area_effect|debuff_zone","damage_amp","area_effect|debuff_zone","slow","","奇点牵引","0.90","1.57","2.04","s1=1.26,s2=265.0,s3=0.28","slow dmgx1.02 ctrl[35.0//] sup[//]","slow dmgx1.52 ctrl[55.0//] sup[//]","slow dmgx0.92 ctrl[18.0//] sup[//]"
"vampire","skill_vampire_q","debuff_zone|line_effect","damage_amp","buff_zone","heal|lifesteal","","猩红盛宴","0.95","1.50","2.00","s1=1.20,s2=235.0,s3=0.38","curse dmgx1.00 ctrl[//] sup[0.16//]","curse dmgx1.44 ctrl[//] sup[0.34//]","curse dmgx0.92 ctrl[//] sup[0.18//]"
"voodoo","skill_voodoo_q","debuff_zone","curse|fear","area_effect|debuff_zone","curse|damage_amp","","大巫降神","1.00","1.43","1.92","s1=1.07,s2=245.0,s3=0.37","curse dmgx0.94 ctrl[//] sup[//]","curse dmgx1.26 ctrl[//] sup[//]","curse dmgx0.78 ctrl[//] sup[//]"
"weaver","skill_web_weave_refactored","debuff_zone|line_effect","damage_amp|slow","area_effect|debuff_zone","damage_amp|freeze","_apply_execute_damage","万丝归巢","1.00","1.42","1.92","s1=1.05,s2=250.0,s3=0.35","slow dmgx0.90 ctrl[//] sup[//]","slow dmgx1.28 ctrl[25.0//] sup[//]","slow dmgx0.72 ctrl[//] sup[//]"
"wind","skill_wind_path_refactored","debuff_zone|line_effect","slow","area_effect|debuff_zone","damage_amp|slow","_apply_wind_cut|_apply_storm_burst","风之升华","0.95","1.50","1.95","s1=1.15,s2=260.0,s3=0.28","slow dmgx0.96 ctrl[22.0//] sup[//]","slow dmgx1.32 ctrl[38.0//] sup[//]","slow dmgx0.78 ctrl[12.0//] sup[//]"
