"role","q_script","line_calls","area_calls","line_debuff","area_debuff","line_buff","area_buff","line_custom","area_custom","key_vars"
"medic","skill_medic_q","buff_zone|debuff_zone","buff_zone|debuff_zone","slow","slow","heal|speed_boost","heal|lifesteal","","","var heal_value: int = 5 | var slow_value: float = 0.4 | var invincible_duration: float = 3.0 | var field_lifesteal: float = 0.12 | var field_heal_multiplier: float = 1.6"
"merchant","skill_merchant_q","debuff_zone","buff_zone","damage_amp","","","speed_boost","","_spawn_market_coin_burst","var bounty_damage_amp: float = 0.2 | var bounty_duration: float = 3.0 | var discount_speed_boost: float = 0.15 | var market_duration: float = 6.0 | var market_coin_count: int = 3"
"midas","skill_midas_q","debuff_zone","area_effect|debuff_zone","damage_amp|slow","damage_amp|slow","","","","_spawn_transmute_coin_burst","var petrify_slow: float = 0.95 | var petrify_duration: float = 3.0 | var transmute_damage_amp: float = 0.5 | var transmute_duration: float = 5.0 | var gilded_line_damage: int = 10 | var transmute_coin_count: int = 4 | var transmute_bonus_damage: int = 22"
"necro","skill_necro_q","wall_effect","area_effect|debuff_zone","","curse","","","","_spawn_skeleton_swarm","var wall_health: int = 3 | var corpse_damage: int = 60 | var corpse_duration: float = 6.0 | var grave_curse_value: float = 8.0 | var grave_tick_interval: float = 1.0 | var skeleton_count: int = 2 | var summon_duration: float = 6.0 | var summon_damage_ratio: float = 0.45 | var bone_contact_damage: int = 12"
"new_pyro","skill_new_pyro_q","debuff_zone|wall_effect","area_effect|debuff_zone","damage_amp","poison","","","","","var wall_contact_damage: int = 15 | var fire_sea_damage: int = 40 | var fire_sea_duration: float = 5.0 | var scorch_damage_amp: float = 0.25 | var burn_dot_value: float = 10.0 | var burn_tick_interval: float = 0.5"
"new_tempest","skill_new_tempest_q","buff_zone|debuff_zone","area_effect|debuff_zone","slow","slow","speed_boost","","","","var buff_duration: float = 4.0 | var pull_damage: int = 24 | var pull_force: float = 360.0 | var area_duration: float = 5.5 | var wind_cut_damage: int = 14 | var storm_slow_value: float = 0.35"
"new_totem","skill_new_totem_q","line_effect|summon","area_effect|debuff_zone","","damage_amp|slow","","","","","var totem_damage: int = 24 | var totem_duration: float = 10.0 | var chain_damage: int = 18 | var quake_damage: int = 40 | var slow_value: float = 0.52 | var quake_duration: float = 4.5 | var overload_damage_amp: float = 0.24"
"paladin","skill_paladin_q","wall_effect","buff_zone|debuff_zone","","damage_amp","","attack_boost|heal","","","var wall_duration: float = 6.0 | var heal_value: int = 3 | var buff_duration: float = 5.0 | var sanctuary_damage_amp: float = 0.2 | var reflect_contact_damage: int = 10"
"plague","skill_plague_q","debuff_zone","area_effect|debuff_zone","poison|slow","curse|damage_amp","","","","","var slow_value: float = 0.55 | var poison_damage: int = 10 | var poison_duration: float = 5.5 | var damage_amp_value: float = 0.35 | var debuff_zone_duration: float = 6.5 | var miasma_damage: int = 18 | var curse_value: float = 8.0"
"pyro","skill_fire_path_refactored","debuff_zone|wall_effect","area_effect|debuff_zone","damage_amp|poison","damage_amp","","","","_pulse_area","var fire_line_damage: int = 34 | var fire_line_duration: float = 6.0 | var afterburn_damage: int = 14 | var afterburn_interval: float = 0.45 | var fire_sea_damage: int = 62 | var fire_sea_duration: float = 6.2 | var inferno_pulse_damage: int = 42 | var inferno_pulse_interval: float = 0.9 | var scorch_damage_amp: float = 0.22"
"sapper","skill_mine_path_refactored","","","","","","","_spawn_mines_on_segment","_spawn_mines_in_polygon","var mine_damage: int = 168 | var mine_trigger_radius: float = 26.0 | var mine_explosion_radius: float = 126.0 | var mine_shock_slow_value: float = 0.48 | var mine_shock_slow_duration: float = 1.8 | var mine_shock_interval: float = 0.35"
"swarm","skill_swarm_q","debuff_zone","buff_zone|summon","slow","","","attack_boost|heal","","","var beetle_damage: int = 32 | var beetle_interval: float = 0.8 | var beetle_duration: float = 5.5 | var turret_damage: int = 18 | var turret_count: int = 3 | var heal_value: int = 3 | var brood_slow_value: float = 0.35 | var turret_duration: float = 10.0 | var brood_heal_duration: float = 8.0"
"tesla","skill_tesla_q","debuff_zone","area_effect|debuff_zone","freeze","damage_amp","","","","","var arc_damage: int = 28 | var arc_stun_duration: float = 0.6 | var field_damage: int = 36 | var field_duration: float = 4.5 | var arc_interval: float = 0.4 | var field_damage_amp: float = 0.25"
"train","skill_train_q","line_effect","area_effect|debuff_zone","","fear","","","","","var shockwave_damage: int = 56 | var beam_damage: int = 30 | var beam_duration: float = 5.5 | var aftershock_damage: int = 42"
"turret_eng","skill_turret_q","summon","buff_zone|summon","","","","attack_boost|cooldown_reduction","","","var turret_damage: int = 24 | var turret_count: int = 3 | var turret_duration: float = 12.0 | var repair_duration: float = 6.5 | var overclock_turret_damage: int = 34 | var overclock_count: int = 1"
"vacuum","skill_vacuum_q","area_effect|debuff_zone","area_effect|debuff_zone","damage_amp","slow","","","","","var pull_force: float = 280.0 | var pull_damage: int = 18 | var vortex_force: float = 460.0 | var vortex_damage: int = 30 | var vortex_duration: float = 4.5 | var suction_damage_amp: float = 0.2"
"vampire","skill_vampire_q","debuff_zone|line_effect","buff_zone","damage_amp","","","heal|lifesteal","","","var blood_damage: int = 36 | var lifesteal_value: float = 1.0 | var blood_pool_duration: float = 5.5 | var blood_mark_amp: float = 0.25 | var blood_heal_value: int = 4"
"voodoo","skill_voodoo_q","debuff_zone","area_effect|debuff_zone","curse|fear","curse|damage_amp","","","","","var curse_duration: float = 6.0 | var curse_damage: int = 11 | var pin_damage: int = 34 | var pin_duration: float = 4.5 | var hex_fear_duration: float = 0.75 | var hex_damage_amp: float = 0.22"
"weaver","skill_web_weave_refactored","debuff_zone|line_effect","area_effect|debuff_zone","damage_amp|slow","damage_amp|freeze","","","","_apply_execute_damage","var recall_damage: int = 46 | var recall_execute_mult: float = 2.8 | var web_slow_value: float = 0.58 | var web_mark_amp: float = 0.24 | var web_cut_interval: float = 0.32 | var execute_threshold_ratio: float = 0.33 | var cocoon_duration: float = 1.1 | var cocoon_damage: int = 20"
"wind","skill_wind_path_refactored","debuff_zone|line_effect","area_effect|debuff_zone","slow","damage_amp|slow","","","_apply_wind_cut","_apply_storm_burst","var wind_wall_pull_force: float = 420.0 | var wind_wall_damage: int = 24 | var wind_wall_duration: float = 3.8 | var wind_wall_effect_radius: float = 130.0 | var storm_zone_damage: int = 44 | var storm_zone_pull_force: float = 520.0 | var storm_zone_duration: float = 4.8 | var wind_cut_damage: int = 34 | var storm_slow_value: float = 0.42"
