"id","name","tier","type","slot_type","base_stat","base_value","mod_type","mod_value","bond_grant","shop_price","icon_path","description"
"relic_rune_blue","秩序符文","3","equipment","weapon","attack","20","shape_tolerance_pct","0.15","geometrist","100","res://assets/sprites/Item/Relics/relic_rune_blue.png","完美的形状"
"relic_rune_red","爆裂符文","3","equipment","weapon","attack","35","damage_percent","0.20","blaster","100","res://assets/sprites/Item/Relics/relic_rune_red.png","很不稳定"
"relic_necklace_skull","统御护符","3","equipment","weapon","hp","300","stat_share_pct","0.20","commander","100","res://assets/sprites/Item/Relics/relic_necklace_skull.png","让死者服从命令"
"relic_flask_green","剧毒烧瓶","3","equipment","weapon","hp","250","pickup_range_pct","0.25","alchemist","100","res://assets/sprites/Item/Relics/relic_flask_green.png","不要摇晃"
"relic_bag_leather","次元皮袋","3","equipment","weapon","hp","300","pickup_range_pct","0.30","alchemist","100","res://assets/sprites/Item/Relics/relic_bag_leather.png","看起来很小装得很多"
"relic_wood_logs","铁木原木","3","equipment","weapon","hp","450","line_duration_pct","0.25","architect","100","res://assets/sprites/Item/Relics/relic_wood_logs.png","比钢铁还坚硬的木材"
"relic_scroll_rolled","密封蓝图","3","equipment","weapon","attack","20","shape_tolerance_pct","0.20","geometrist","100","res://assets/sprites/Item/Relics/relic_scroll_rolled.png","记载着未知的几何结构"
"relic_book_necro","死灵法典","3","equipment","weapon","attack","30","energy_regen_pct","0.15","inkborn","100","res://assets/sprites/Item/Relics/relic_book_necro.png","书页是人皮做的"
"relic_glove_dark","暗影手套","3","equipment","weapon","attack","25","debuff_duration_pct","0.25","hexer","100","res://assets/sprites/Item/Relics/relic_glove_dark.png","触摸暗影而不被侵蚀"
"relic_dagger_ritual","仪式匕首","3","equipment","weapon","attack","35","damage_percent","0.15","blaster","100","res://assets/sprites/Item/Relics/relic_dagger_ritual.png","用于血祭的利刃"
"relic_hood_dark","无面者兜帽","3","equipment","weapon","attack","30","switch_cd_reduce_pct","0.20","vanguard","100","res://assets/sprites/Item/Relics/relic_hood_dark.png","先锋总是最后露面"
"relic_candle_skull","魂火蜡烛","3","equipment","weapon","attack","25","energy_regen_pct","0.18","inkborn","100","res://assets/sprites/Item/Relics/relic_candle_skull.png","燃烧灵魂而非油脂"
"relic_candle_dual","双生蜡烛","3","equipment","weapon","attack","20","debuff_duration_pct","0.18","hexer","100","res://assets/sprites/Item/Relics/relic_candle_dual.png","诅咒与祝福并存"
"relic_page_script","古老残页","3","equipment","weapon","hp","250","stat_share_pct","0.15","commander","100","res://assets/sprites/Item/Relics/relic_page_script.png","失落的战术手稿"
"relic_vial_blood","始祖之血","3","equipment","weapon","hp","350","pickup_range_pct","0.25","alchemist","100","res://assets/sprites/Item/Relics/relic_vial_blood.png","炼金术的终极追求"
"relic_root_mandrake","曼德拉草","3","equipment","weapon","hp","300","bench_cd_reduce_pct","0.18","assist","100","res://assets/sprites/Item/Relics/relic_root_mandrake.png","拔出来时会尖叫"
"relic_doll_voodoo","巫毒人偶","3","equipment","weapon","attack","30","debuff_duration_pct","0.30","hexer","100","res://assets/sprites/Item/Relics/relic_doll_voodoo.png","针扎在它身上痛在敌人身"
"relic_coin_ancient","冥河古币","3","equipment","weapon","hp","250","pickup_range_pct","0.20","alchemist","100","res://assets/sprites/Item/Relics/relic_coin_ancient.png","给摆渡人的小费"
"relic_bowl_blood","血祭之碗","3","equipment","weapon","attack","40","damage_percent","0.25","blaster","100","res://assets/sprites/Item/Relics/relic_bowl_blood.png","献祭生命换取毁灭"
"relic_key_skeleton","万能骨钥","3","equipment","weapon","hp","350","line_duration_pct","0.18","architect","100","res://assets/sprites/Item/Relics/relic_key_skeleton.png","没有打不开的门"
"relic_letter_sealed","密封密令","3","equipment","weapon","hp","300","stat_share_pct","0.18","commander","100","res://assets/sprites/Item/Relics/relic_letter_sealed.png","见信如晤"
"relic_parchment_open","位面海图","3","equipment","weapon","attack","25","shape_tolerance_pct","0.25","geometrist","100","res://assets/sprites/Item/Relics/relic_parchment_open.png","坐标系已经建立"
"relic_horn_war","战争号角","3","equipment","weapon","attack","35","switch_cd_reduce_pct","0.25","vanguard","100","res://assets/sprites/Item/Relics/relic_horn_war.png","吹响冲锋的号令"
"relic_glove_leather","工匠手套","3","equipment","weapon","hp","300","bench_cd_reduce_pct","0.15","assist","100","res://assets/sprites/Item/Relics/relic_glove_leather.png","粗糙但耐用"
"relic_boot_worn","流浪者之靴","3","equipment","weapon","speed","80","movement_speed_pct","0.20","nomad","100","res://assets/sprites/Item/Relics/relic_boot_worn.png","走过无数里的路"
"relic_arrow_broken","断裂爆箭","3","equipment","weapon","attack","30","damage_percent","0.18","blaster","100","res://assets/sprites/Item/Relics/relic_arrow_broken.png","即便断了也能爆炸"
"relic_skull_deer","森林之灵","3","equipment","weapon","speed","75","movement_speed_pct","0.18","nomad","100","res://assets/sprites/Item/Relics/relic_skull_deer.png","自然的庇护"
"potion_heal","生命药水","0","consumable","","hp","100","","","","","res://assets/sprites/Icons/origins/origin1.png","恢复100点生命"
"potion_energy","能量药水","0","consumable","","energy","50","","","","","res://assets/sprites/Icons/origins/origin2.png","恢复50点能量"
