"skill_id","energy_cost","cooldown","fixed_segment_length","dash_speed","energy_per_10px","energy_threshold_distance","energy_scale_multiplier","base_line_duration","desc_q_line","desc_q_circle","desc_e","tags","param1","param1_note","param2","param2_note","param3","param3_note","param4","param4_note","param5","param5_note","param6","param6_note","param7","param7_note","param8","param8_note","param9","param9_note","param10","param10_note"
"skill_breachmarshal_q","","0","","","0.4","1800","0.0005","5.0","沿路径释放列车冲击，双段轨道碾压。","闭合区域触发旋转光束，持续高频扫荡。","","q,active,drawing,closed_shape","0.7","首段延迟(shockwave_delay)","60","首段伤害(shockwave_damage)","38","光束伤害(beam_damage)","6.2","光束持续(beam_duration)","1.4","次段延迟(aftershock_delay)","54","次段伤害(aftershock_damage)","35.2","轨道宽度(rail_width)","","","","","",""
"skill_breachmarshal_e","37","9.9","","","","","","","","","汽笛震波：扇形声浪击退并短眩。","e,active,burst","200","致盲范围(blind_radius)","2.2","致盲持续(blind_duration)","","","","","","","","","","","","","","","",""
"skill_swarm_q","","0","","","0.4","1800","0.0005","8.0","沿路径连续孵化甲虫并压制敌人移速。","闭合区域生成孵化巢，召唤炮台并持续支援。","","q,active,drawing,closed_shape","41","甲虫伤害(beetle_damage)","0.7","甲虫孵化间隔(beetle_interval)","6.2","甲虫持续(beetle_duration)","23","炮台伤害(turret_damage)","4","炮台数量(turret_count)","3","孵化场治疗(heal_value)","0.41","孵化压制减速(brood_slow_value)","10.0","炮台持续(turret_duration)","9.0","孵化支援持续(brood_heal_duration)","",""
"skill_swarm_e","35","9.4","","","","","","","","","孵化爆裂：引爆幼虫群并施加中毒。","e,active,burst","","","","","","","","","","","","","","","","","","","",""
"skill_spiritcaller_q","","0","","","0.4","1800","0.0005","10.0","沿路径部署双图腾并释放高频电链。","闭合区域触发震场，减速并施加过载易伤。","","q,active,drawing,closed_shape","31","图腾伤害(totem_damage)","10.0","图腾持续(totem_duration)","23","电链伤害(chain_damage)","51","震场伤害(quake_damage)","0.60","震场减速(slow_value)","5.0","震场持续(quake_duration)","0.28","过载易伤(overload_damage_amp)","","","","","",""
"skill_spiritcaller_e","34","8.9","","","","","","","","","图腾转相：切换图腾三态并立刻脉冲。","e,active,burst","","","","","","","","","","","","","","","","","","","",""
"skill_turretwright_q","","0","","","0.4","1800","0.0005","12.0","沿路径部署自动炮塔阵列。","闭合区域触发超频站，追加重炮并提升火力。","","q,active,drawing,closed_shape","31","炮台伤害(turret_damage)","4","部署数量(turret_count)","10.0","炮台持续(turret_duration)","0.75","超频火力(repair_boost)","7.3","超频持续(repair_duration)","44","超频炮伤(overclock_turret_damage)","2","超频炮数量(overclock_count)","","","","","",""
"skill_turretwright_e","33","8.4","","","","","","","","","速建炮台：立即部署微炮塔并优先锁定首领。","e,active,burst","","","","","","","","","","","","","","","","","","","",""
"skill_mirebinder_q","","0","","","0.4","1800","0.0005","5.0","沿路径铺设黏液，重度减速并附带毒蚀。","闭合区域裂变为黏池，持续伤害并孵化史莱姆。","","q,active,drawing,closed_shape","0.92","黏液减速(slow_value)","4.5","减速持续(slow_duration)","31","黏池伤害(pool_damage)","6.2","黏池持续(pool_duration)","4","史莱姆数量(slime_count)","11.5","毒蚀强度(mirebinder_poison_value)","57.2","裂变半径(split_radius)","","","","","",""
"skill_mirebinder_e","35","8.8","","","","","","","","","酸泡弹：抛射酸泡分裂腐蚀并强化胶池控场。","e,active,burst","150","吞噬范围(devour_radius)","30","吞噬治疗量(heal_amount)","","","","","","","","","","","","","","","",""
"skill_necro_q","","0","","","0.4","1800","0.0005","8.0","沿路径筑起骨墙，阻挡并造成接触伤害。","闭合区域化为墓域：持续伤害、诅咒并召唤骨仆。","","q,active,drawing,closed_shape","3","骨墙生命(wall_health)","17.6","骨墙宽度(wall_width)","70","墓域伤害(corpse_damage)","6.7","墓域持续(corpse_duration)","10.2","墓域诅咒值(grave_curse_value)","0.9","诅咒触发间隔(grave_tick_interval)","3","骨仆数量(skeleton_count)","6.7","骨仆持续(summon_duration)","1.00","骨仆伤害系数(summon_damage_ratio)","15","骨墙接触伤害(bone_contact_damage)"
"skill_necro_e","36","9.4","","","","","","","","","灵契收割：标记目标，死亡后转化灵魂球。","e,active,burst","200","恐惧范围(fear_radius)","3.0","恐惧持续(fear_duration)","","","","","","","","","","","","","","","",""
"skill_illusionist_q","","0","","","0.4","1800","0.0005","5.0","沿路径展开镜面墙，反弹弹道并附加破绽标记。","闭合区域召唤幻影分身群，周期扰乱敌人。","","q,active,drawing,closed_shape","17.6","镜墙宽度(wall_width)","6.2","镜墙持续(wall_duration)","23","幻影伤害(phantom_damage)","10.0","幻影持续(phantom_duration)","4","幻影数量(phantom_count)","0.2","镜痕易伤(mirror_mark_amp)","1.20","镜恐惧持续(mirror_fear_duration)","","","","","",""
"skill_illusionist_e","32","8.4","","","","","","","","","幻步替身：留下分身并交换位置，复制镜线伤害。","e,active,burst","","","","","","","","","","","","","","","","","","","",""
"skill_hexwarden_q","","0","","","0.4","1800","0.0005","6.0","沿路径播撒诅咒并扰乱敌方阵形。","闭合区域化作针刺咒域，持续伤害并放大受击。","","q,active,drawing,closed_shape","6.7","诅咒持续(curse_duration)","14","诅咒伤害(curse_damage)","44","针刺伤害(pin_damage)","5.0","针刺持续(pin_duration)","1.20","巫恐惧持续(hex_fear_duration)","0.26","巫易伤(hex_damage_amp)","","","","","","","",""
"skill_hexwarden_e","38","10.2","","","","","","","","","替身针：将部分受伤转移至咒偶目标。","e,active,burst","20","自伤值(self_damage)","54","诅咒伤害(curse_damage)","","","","","","","","","","","","","","","",""
"skill_broker_q","20","0","","","0.4","1800","0.0005","6.0","沿路径创建赏金线，使敌人易伤。","闭合区域开启黑市，加速并产出金币。","","q,active,drawing,closed_shape","0.2","赏金易伤(bounty_damage_amp)","3.4","赏金持续(bounty_duration)","0.17","黑市移速(discount_speed_boost)","6.7","黑市持续(market_duration)","4","黑市产币数量(market_coin_count)","","","","","","","","","",""
"skill_broker_e","30","12.4","","","","","","","","","赊账交易：金币换护盾或生命换增伤。","e,active,burst","0.00","e_damage_or_heal","3.0","e_control_duration_or_buff_duration","","","","","","","","","","","","","","","1.8","f_internal_trigger_cd(reference)"
"skill_gildhand_q","","0","","","0.4","1800","0.0005","5.0","沿路径释放镀金射线，使敌人石化减速并易伤。","闭合区域开启转化阵：放大伤害并返还金币。","","q,active,drawing,closed_shape","0.92","石化减速(petrify_slow)","3.4","石化持续(petrify_duration)","0.4","转化易伤(transmute_damage_amp)","5.6","转化持续(transmute_duration)","13","镀金线伤害(gilded_line_damage)","5","转化产币(transmute_coin_count)","28","转化附加伤害(transmute_bonus_damage)","","","","","",""
"skill_gildhand_e","35","8.8","","","","","","","","","点金手：提升石化进度并造成重击。","e,active,burst","180","点金伤害(touch_damage)","120","点金范围(touch_radius)","30","掉落金币(gold_drop)","","","","","","","","","","","","","",""
"skill_singularist_q","23","0","","","0.4","1800","0.0005","6.0","沿路径构建传送带，牵引并压碎敌人。","闭合区域形成真空涡流，强吸附并持续伤害。","","q,active,drawing,closed_shape","324.8","线段牵引力(pull_force)","21","线段牵引伤害(pull_damage)","480.0","涡流牵引力(vortex_force)","38","涡流伤害(vortex_damage)","5.0","涡流持续(vortex_duration)","0.2","牵引易伤(suction_damage_amp)","","","","","","","",""
"skill_singularist_e","36","8.9","","","","","","","","","反向喷口：外推打断近身并制造二段牵引。","e,active,burst","0.50","e_damage_or_heal","0.8","e_control_duration_or_buff_duration","","","","","","","","","","","","","","","1.0","f_internal_trigger_cd(reference)"
"skill_executioner_q","","0","","","0.4","1800","0.0005","5.0","沿路径施加处刑标记并持续割裂。","闭合区域触发断头台，短时高频斩击并恐惧敌人。","","q,active,drawing,closed_shape","0.45","易伤倍率(damage_amp_value)","5.0","易伤持续(damage_amp_duration)","130","断头台伤害(guillotine_damage)","1.3","断头台持续(guillotine_duration)","20","线段割裂伤害(line_bleed_damage)","0.39","线段触发间隔(line_tick_interval)","1.2","处刑恐惧持续(execute_fear_duration)","","","","","",""
"skill_executioner_e","42","11.2","","","","","","","","","断头令：瞬斩低血罪证目标并返还冷却。","e,active,burst","190","处刑范围(execute_radius)","0.16","处刑血量阈值(execute_threshold)","","","","","","","","","","","","","","","",""
"skill_fatebinder_q","21","0","","","0.4","1800","0.0005","5.5","沿路径生成赌注线，基础易伤并概率追加特殊减益。","闭合区域触发轮盘：增益/减益/头奖，带保底机制。","","q,active,drawing,closed_shape","0.31","基础增益倍率(random_buff_value)","0.31","基础减益倍率(random_debuff_value)","6.2","轮盘持续(zone_duration)","0.38","线段加注概率(line_bonus_proc_chance)","13","线段加注伤害(line_bonus_damage)","0.6","头奖攻击提升(jackpot_bonus_attack)","0.31","头奖冷却缩减(jackpot_bonus_cooldown)","32","头奖追加伤害(jackpot_damage)","2","头奖保底层数(jackpot_streak_limit)","",""
"skill_fatebinder_e","33","9.4","","","","","","","","","掷骰换牌：重掷奖池并立即结算小奖。","e,active,burst","0.00","e_damage_or_heal","0.0","e_control_duration_or_buff_duration","26","赌输自伤(self_damage)","","","","","","","","","","","","","1.6","f_internal_trigger_cd(reference)"
"skill_trapper_q","","0","","","0.4","1800","0.0005","8.0","沿路径布置陷阱线，减速并冻结猎物。","闭合区域构成猎场：标记、冻结并触发爆发伤害。","","q,active,drawing,closed_shape","0.6","线段减速(slow_value)","3.4","减速持续(slow_duration)","2.2","冻结持续(freeze_duration)","9.0","猎场持续(trap_duration)","18","陷阱伤害(trap_damage)","0.32","猎场标记(mark_damage_amp)","31","猎场爆发(burst_damage)","","","","","",""
"skill_trapper_e","34","8.8","","","","","","","","","狩猎跃击：跃击被标记目标并施加破甲。","e,active,burst","300","标记范围(mark_radius)","5.0","标记持续(mark_duration)","0.42","标记伤害放大(mark_damage_amp)","","","","","","","","","","","","","",""
"skill_butcher_e","50","10.8","","","","","","","","","肉桩钉锁：钉住并牵引目标，拉向最近锯链或闭合圈边。","e,active,burst","1.20","e_damage_or_heal","1.8","e_control_duration_or_buff_duration","26","肉桩伤害(stake_impact_damage)","5.6","肉桩持续(stake_duration)","","","7.0","肉桩持续(stake_duration)","","","","","","","1.2","f_internal_trigger_cd(reference)"
"skill_weaver_e","40","9.4","","","","","","","","","麻痹梭：在蛛网节点间弹射，短暂麻痹并补诅咒层。","e,active,burst","320","定身半径(stun_radius)","1.3","定身持续(stun_duration)","","","","","","","","","","","","","","","1.5","f_internal_trigger_cd(reference)"
"skill_lurewarden_e","45","10.8","","","","","","","","","号哨突进：命令牧兽冲锋，优先把敌人顶向围栏边缘。","e,active,burst","220","爆炸半径(explosion_radius)","108","爆炸伤害(explosion_damage)","560","击退力度(explosion_knockback)","","","","","","","","","","","","","",""
"skill_pyro_e","47","9.2","","","","","","","","","火脉跃燃：短冲刺点燃路径，终点触发爆燃。","e,active,burst","180","火焰新星半径(fire_nova_radius)","46","火焰新星伤害(fire_nova_damage)","2.4","火焰新星持续(fire_nova_duration)","","","","","","","","","","","","","1.0","f_internal_trigger_cd(reference)"
"skill_wind_e","33","8.6","","","","","","","","","回旋踏切：位移后回斩最近风线，附短牵引。","e,active,burst","160","暴风眼半径(storm_eye_radius)","36","暴风眼伤害(storm_eye_damage)","540","暴风眼吸力(storm_eye_pull_force)","2.2","暴风眼持续(storm_eye_duration)","","","","","","","","","","","",""
"skill_sapper_e","37","10.8","","","","","","","","","工爆补给箱：武装最近雷点并触发一次同步起爆。","e,active,burst","6.6","图腾持续时间(totem_duration)","240","图腾最大生命值(totem_max_health)","650","图腾嘲讽范围(totem_taunt_radius)","150","图腾爆炸半径(totem_explosion_radius)","155","图腾爆炸伤害(totem_explosion_damage)","","","","","","","","","1.2","f_internal_trigger_cd(reference)"
