"player_id","display_name","display_order","enabled","ties","health","health_regen","skill_q_cost","skill_e_cost","close_threshold","energy_regen","max_energy","initial_energy","max_armor","base_speed","description","external_force_decay","knockback_scale","origin_tag","mastery_tag","tactic_tag","q_closure_sfx","q_closure_volume_db","q_closure_sfx_enabled"
"-1","显示名","显示顺序","是否启用","羁绊","生命值","血量恢复","Q技能消耗","E技能消耗","近战阈值","能量恢复","最大能量","初始能量","最大护甲","移动速度","说明","外力衰减","击退缩放","身世标签","职能标签","战术标签","Q闭合专属音效路径","Q闭合音量(dB)","Q闭合音效开关"
"swarm","巢母","20","1","后勤|咒术师|指挥型","108","0.3","0","35","60","0.7","1000","1000","2","490","虫群占场、拖线压场","50","0.3","alchemist","hexer","commander","res://assets/audio/skill/q_closure/swarm.wav","0","1"
"spiritcaller","祖灵祭司","21","1","魔导|筑墙者|指挥型","103","0.3","0","34","60","0.7","1000","1000","2","500","图腾共鸣、节点调度","50","0.3","inkborn","architect","commander","res://assets/audio/skill/q_closure/spiritcaller.wav","0","1"
"turretwright","炮械师","22","1","游侠|爆破师|支援型","108","0.3","0","33","60","0.7","1000","1000","2","500","炮位架设、接力火力","50","0.3","nomad","blaster","assist","res://assets/audio/skill/q_closure/turretwright.wav","0","1"
"mirebinder","墨沼师","23","1","魔导|咒术师|支援型","103","0.4","0","35","60","0.7","1000","1000","2","490","墨沼滞路、吞没控场","50","0.3","inkborn","hexer","assist","res://assets/audio/skill/q_closure/mirebinder.wav","0","1"
"necro","死灵师","24","1","魔导|筑墙者|突击型","98","0.2","0","36","60","1.0","1000","1000","2","480","骨墙恐惧、死线推进","50","0.3","inkborn","architect","vanguard","res://assets/audio/skill/q_closure/necro.wav","0","1"
"illusionist","幻术师","25","1","游侠|几何师|支援型","108","0.3","0","32","60","0.8","1000","1000","2","520","错位镜面、诱敌欺敌","50","0.3","nomad","geometrist","assist","res://assets/audio/skill/q_closure/illusionist.wav","0","1"
"hexwarden","咒铠师","26","1","重装|几何师|突击型","128","0.5","0","38","60","0.7","1000","1000","3","480","近战诅咒、咒甲推进","50","0.3","colossus","geometrist","vanguard","res://assets/audio/skill/q_closure/hexwarden.wav","0","1"
"broker","清算商","27","1","后勤|几何师|支援型","108","0.3","0","30","60","0.8","1000","1000","2","500","黑市清算、资源变现","50","0.3","alchemist","geometrist","assist","res://assets/audio/skill/q_closure/broker.wav","0","1"
"gildhand","点金师","28","1","魔导|咒术师|突击型","98","0.2","0","35","60","1.0","1000","1000","2","490","点金石化、价值转化","50","0.3","inkborn","hexer","vanguard","res://assets/audio/skill/q_closure/gildhand.wav","0","1"
"singularist","坍缩师","29","1","游侠|爆破师|指挥型","103","0.3","0","36","60","0.8","1000","1000","2","510","奇点聚怪、扭转路径","50","0.3","nomad","blaster","commander","res://assets/audio/skill/q_closure/singularist.wav","0","1"
"executioner","处刑人","30","1","重装|咒术师|突击型","118","0.4","0","42","60","0.7","1000","1000","3","470","处决与断头台","50","0.3","colossus","hexer","vanguard","res://assets/audio/skill/q_closure/executioner.wav","0","1"
"fatebinder","命契师","31","1","游侠|几何师|突击型","93","0.2","0","33","60","1.0","1000","1000","2","530","风险换爆发、命运偏转","50","0.3","nomad","geometrist","vanguard","res://assets/audio/skill/q_closure/fatebinder.wav","0","1"
"trapper","伏猎者","32","1","后勤|筑墙者|指挥型","108","0.3","0","34","60","0.8","1000","1000","2","500","伏线夹口、路径伏击","50","0.3","alchemist","architect","commander","res://assets/audio/skill/q_closure/trapper.wav","0","1"
